e,m,p,N
3,6,4,147
2,6,4,97
1,6,4,92
4,6,4,165
5,6,4,167
6,6,4,195
1,4,4,105
2,4,4,164
3,4,4,429
4,4,4,467
1,8,4,96
2,8,4,98
3,8,4,156
4,8,4,171
5,8,4,210
6,8,4,283
7,8,4,292
8,8,4,319
6,6,6,716
5,6,6,657
4,6,6,654
3,6,6,582
2,6,6,272
1,6,6,259
4,4,6,1940
3,4,6,1105
2,4,6,1104
1,4,6,1099
1,8,6,281
2,8,6,295
3,8,6,445
4,8,6,629
5,8,6,644
6,8,6,1158
7,8,6,1195
8,8,6,1253
1,4,8,2802
2,4,8,2924
3,4,8,3133
4,4,8,6038
1,6,8,798
2,6,8,839
3,6,8,2384
4,6,8,2651
5,6,8,2652
6,6,8,2863
1,8,8,865
2,8,8,902
3,8,8,1387
4,8,8,2030
5,8,8,4011
6,8,8,4270
7,8,8,4402
8,8,8,4430
1,6,10,2588
2,6,10,2740
3,6,10,10000
4,6,10,10000
5,6,10,10000
6,6,10,10000
1,8,10,2707
2,8,10,4466
3,8,10,4733
4,8,10,5627
5,8,10,10000
6,8,10,10000
7,8,10,10000
8,8,10,10000
1,4,10,10000
2,4,10,10000
3,4,10,10000
4,4,10,10000

